iter  500 | cells filled=142 | distinct families=93 | specs evaluated=239
iter 1000 | cells filled=197 | distinct families=115 | specs evaluated=369
iter 1500 | cells filled=220 | distinct families=123 | specs evaluated=453
iter 2000 | cells filled=236 | distinct families=129 | specs evaluated=499
iter 2500 | cells filled=251 | distinct families=133 | specs evaluated=548

== MAP-Elites illumination of the typed grammar ==
  behavior cells filled        : 251  (family x decisions-bucket x interaction-bucket)
  distinct families illuminated : 133 / 137 well-typed families
  specs evaluated               : 548

== Best game per illuminated family (the out-of-loop judging set) ==
  0.432  accumulate|bust|closest_target
  0.691  beat_or_pass|empty_hand|first_out
  0.679  beat_or_pass|empty_hand|first_out+knock
  0.669  beat_or_pass|empty_hand|first_out+run_play
  0.674  beat_or_pass|empty_hand|first_out+run_play,knock
  0.719  capture|deck_out|most_captured
  0.627  capture|deck_out|most_captured+avoidance
  0.720  capture|deck_out|most_captured+avoidance,sum_capture
  0.706  capture|deck_out|most_captured+meld_bonus
  0.709  capture|deck_out|most_captured+meld_bonus,avoidance
  0.791  capture|deck_out|most_captured+meld_bonus,avoidance,sum_capture
  0.795  capture|deck_out|most_captured+meld_bonus,sum_capture
  0.796  capture|deck_out|most_captured+sum_capture
  0.458  play_match/either|empty_hand|first_out
  0.472  play_match/either|empty_hand|first_out+draw_penalty
  0.495  play_match/either|empty_hand|first_out+draw_penalty,force_draw
  0.533  play_match/either|empty_hand|first_out+draw_penalty,force_draw,nominate
  0.496  play_match/either|empty_hand|first_out+draw_penalty,force_draw,reverse
  0.533  play_match/either|empty_hand|first_out+draw_penalty,knock
  0.554  play_match/either|empty_hand|first_out+draw_penalty,knock,force_draw
  0.550  play_match/either|empty_hand|first_out+draw_penalty,knock,nominate
  0.515  play_match/either|empty_hand|first_out+draw_penalty,knock,reverse
  0.558  play_match/either|empty_hand|first_out+draw_penalty,knock,skip
  0.480  play_match/either|empty_hand|first_out+draw_penalty,nominate
  0.472  play_match/either|empty_hand|first_out+draw_penalty,reverse
  0.446  play_match/either|empty_hand|first_out+draw_penalty,skip
  0.501  play_match/either|empty_hand|first_out+draw_penalty,skip,force_draw
  0.444  play_match/either|empty_hand|first_out+draw_penalty,skip,nominate
  0.445  play_match/either|empty_hand|first_out+draw_penalty,skip,reverse
  0.372  play_match/either|empty_hand|first_out+follow_suit
  0.372  play_match/either|empty_hand|first_out+follow_suit,draw_penalty
  0.400  play_match/either|empty_hand|first_out+follow_suit,draw_penalty,force_draw
  0.392  play_match/either|empty_hand|first_out+follow_suit,draw_penalty,knock
  0.333  play_match/either|empty_hand|first_out+follow_suit,draw_penalty,nominate
  0.333  play_match/either|empty_hand|first_out+follow_suit,draw_penalty,reverse
  0.379  play_match/either|empty_hand|first_out+follow_suit,draw_penalty,skip
  0.391  play_match/either|empty_hand|first_out+follow_suit,force_draw
  0.396  play_match/either|empty_hand|first_out+follow_suit,force_draw,nominate
  0.391  play_match/either|empty_hand|first_out+follow_suit,force_draw,reverse
  0.368  play_match/either|empty_hand|first_out+follow_suit,knock
  0.410  play_match/either|empty_hand|first_out+follow_suit,knock,force_draw
  0.413  play_match/either|empty_hand|first_out+follow_suit,knock,nominate
  0.376  play_match/either|empty_hand|first_out+follow_suit,knock,skip
  0.348  play_match/either|empty_hand|first_out+follow_suit,nominate
  0.348  play_match/either|empty_hand|first_out+follow_suit,nominate,reverse
  0.372  play_match/either|empty_hand|first_out+follow_suit,reverse
  0.388  play_match/either|empty_hand|first_out+follow_suit,skip
  0.399  play_match/either|empty_hand|first_out+follow_suit,skip,force_draw
  0.375  play_match/either|empty_hand|first_out+follow_suit,skip,nominate
  0.358  play_match/either|empty_hand|first_out+follow_suit,skip,reverse
  0.486  play_match/either|empty_hand|first_out+force_draw
  0.505  play_match/either|empty_hand|first_out+force_draw,nominate
  0.505  play_match/either|empty_hand|first_out+force_draw,nominate,reverse
  0.486  play_match/either|empty_hand|first_out+force_draw,reverse
  0.516  play_match/either|empty_hand|first_out+knock
  0.570  play_match/either|empty_hand|first_out+knock,force_draw
  0.551  play_match/either|empty_hand|first_out+knock,force_draw,nominate
  0.525  play_match/either|empty_hand|first_out+knock,force_draw,reverse
  0.526  play_match/either|empty_hand|first_out+knock,nominate
  0.552  play_match/either|empty_hand|first_out+knock,nominate,reverse
  0.518  play_match/either|empty_hand|first_out+knock,reverse
  0.529  play_match/either|empty_hand|first_out+knock,skip
  0.423  play_match/either|empty_hand|first_out+knock,skip,force_draw
  0.535  play_match/either|empty_hand|first_out+knock,skip,nominate
  0.510  play_match/either|empty_hand|first_out+knock,skip,reverse
  0.474  play_match/either|empty_hand|first_out+nominate
  0.474  play_match/either|empty_hand|first_out+nominate,reverse
  0.458  play_match/either|empty_hand|first_out+reverse
  0.473  play_match/either|empty_hand|first_out+run_play
  0.503  play_match/either|empty_hand|first_out+run_play,draw_penalty
  0.531  play_match/either|empty_hand|first_out+run_play,draw_penalty,force_draw
  0.655  play_match/either|empty_hand|first_out+run_play,draw_penalty,knock
  0.469  play_match/either|empty_hand|first_out+run_play,draw_penalty,nominate
  0.503  play_match/either|empty_hand|first_out+run_play,draw_penalty,reverse
  0.488  play_match/either|empty_hand|first_out+run_play,draw_penalty,skip
  0.404  play_match/either|empty_hand|first_out+run_play,follow_suit
  0.436  play_match/either|empty_hand|first_out+run_play,follow_suit,draw_penalty
  0.426  play_match/either|empty_hand|first_out+run_play,follow_suit,force_draw
  0.504  play_match/either|empty_hand|first_out+run_play,follow_suit,knock
  0.433  play_match/either|empty_hand|first_out+run_play,follow_suit,nominate
  0.404  play_match/either|empty_hand|first_out+run_play,follow_suit,reverse
  0.414  play_match/either|empty_hand|first_out+run_play,follow_suit,skip
  0.503  play_match/either|empty_hand|first_out+run_play,force_draw
  0.510  play_match/either|empty_hand|first_out+run_play,force_draw,nominate
  0.503  play_match/either|empty_hand|first_out+run_play,force_draw,reverse
  0.561  play_match/either|empty_hand|first_out+run_play,knock
  0.602  play_match/either|empty_hand|first_out+run_play,knock,force_draw
  0.608  play_match/either|empty_hand|first_out+run_play,knock,nominate
  0.577  play_match/either|empty_hand|first_out+run_play,knock,reverse
  0.612  play_match/either|empty_hand|first_out+run_play,knock,skip
  0.470  play_match/either|empty_hand|first_out+run_play,nominate
  0.462  play_match/either|empty_hand|first_out+run_play,reverse
  0.474  play_match/either|empty_hand|first_out+run_play,skip
  0.509  play_match/either|empty_hand|first_out+run_play,skip,force_draw
  0.480  play_match/either|empty_hand|first_out+run_play,skip,nominate
  0.481  play_match/either|empty_hand|first_out+run_play,skip,reverse
  0.448  play_match/either|empty_hand|first_out+skip
  0.478  play_match/either|empty_hand|first_out+skip,force_draw
  0.479  play_match/either|empty_hand|first_out+skip,force_draw,nominate
  0.448  play_match/either|empty_hand|first_out+skip,nominate
  0.448  play_match/either|empty_hand|first_out+skip,nominate,reverse
  0.448  play_match/either|empty_hand|first_out+skip,reverse
  0.523  rummy|deck_out|fewest_deadwood
  0.523  rummy|deck_out|fewest_deadwood+knock
  0.585  rummy|deck_out|fewest_deadwood+wild
  0.588  rummy|deck_out|fewest_deadwood+wild,knock
  0.606  trick|deck_out|most_captured
  0.575  trick|deck_out|most_captured+avoidance
  0.584  trick|deck_out|most_captured+avoidance,bid
  0.441  trick|deck_out|most_captured+avoidance,bid,teams
  0.470  trick|deck_out|most_captured+avoidance,teams
  0.593  trick|deck_out|most_captured+avoidance,trump
  0.608  trick|deck_out|most_captured+avoidance,trump,bid
  0.449  trick|deck_out|most_captured+avoidance,trump,teams
  0.584  trick|deck_out|most_captured+bid
  0.441  trick|deck_out|most_captured+bid,teams
  0.611  trick|deck_out|most_captured+meld_bonus
  0.601  trick|deck_out|most_captured+meld_bonus,avoidance
  0.584  trick|deck_out|most_captured+meld_bonus,avoidance,bid
  0.498  trick|deck_out|most_captured+meld_bonus,avoidance,teams
  0.600  trick|deck_out|most_captured+meld_bonus,avoidance,trump
  0.584  trick|deck_out|most_captured+meld_bonus,bid
  0.441  trick|deck_out|most_captured+meld_bonus,bid,teams
  0.504  trick|deck_out|most_captured+meld_bonus,teams
  0.597  trick|deck_out|most_captured+meld_bonus,trump
  0.608  trick|deck_out|most_captured+meld_bonus,trump,bid
  0.501  trick|deck_out|most_captured+meld_bonus,trump,teams
  0.499  trick|deck_out|most_captured+teams
  0.595  trick|deck_out|most_captured+trump
  0.608  trick|deck_out|most_captured+trump,bid
  0.430  trick|deck_out|most_captured+trump,bid,teams
  0.512  trick|deck_out|most_captured+trump,teams
  0.620  vying|showdown|best_hand
